企業名,サービス名,サービス概要,ローンチ日,
DeNA,Voice Pococha,顔を出す必要がないため容姿や年齢、性別を気にすることなく自分を中心としたコミュニティを形成することができる、音声ライブ配信アプリです。,,
DeNA,IRIAM,1台のスマホと1枚のイラストだけで、いつでも・どこでも「キャラクターライブ配信」を楽しめるアプリです。,,
DeNA,SHOWROOM,インターネット上でアイドルやタレントなどのライブパフォーマンスを配信する仮想ライブ空間です。,,
DeNA,MYCODE,一般消費者向け遺伝子検査サービスです。唾液採取をして返送すると、最大280の検査項目に関する情報と食生活などに関するアドバイスを提供します。,,
DeNA,kencom,健康保険組合や自治体等で導入され、利用者の健康診断結果や楽しく健康増進を促進する仕組みを取り入れたヘルスケアエンターテインメントアプリです。,,
DeNA,ハレトケ,無料会員登録で毎日が豊かになる厳選された特典が得られる、主にミレニアル世代の女性を応援するwebサービスです。暮らしに役立つ記事も読めます。,,
DeNA,カラダモ,ゲーミフィケーションや楽しく継続してもらう仕組みを活用し、体に良い行動の習慣化を促すことで、健康的なダイエットをサポートするアプリです。,,
DeNA,ONSEI,音声から音声特徴量を抽出しAIが解析することで、認知機能の変化をチェックするアプリです。,,
DeNA,MENKYO,高齢者運転免許更新時の認知機能検査を、紙ではなくタブレットで実施できるようにしたシステムで、効率化が期待されます。,,
DeNA,SHINRI-ADAS,抗認知症薬の治験にも採用された、薬効評価に最適な認知機能検査「ADAS-Jcog.」をタブレットやＰＣで実施できるようにしたクラウドシステムです。,,
DeNA,MRI-TAISEKI,MRIで撮像した脳のDICOM画像を解析し133の脳部位に分割し、各部位の体積を測定するシステム。医療機器プログラムとして認証されています。,,
DeNA,Join,"高セキュリティ環境下でリアルタイムに情報共有ができる、医療関係者間コミュニケーションアプリです。
PACS（医療用画像管理システム）などと連携し、医療情報を共有することで、遠隔診療に活用されています。",,
DeNA,MySOS,"自身や家族の健康・医療記録を行い、救急時にスムーズな対応を支援する、救命・健康サポートアプリです。
日々の健康管理、応急手当や救援依頼、医療関係者への情報伝達や緊急連絡ができます。",,
DeNA,Team,医療・介護サービスをシームレスに繋ぐ、多職種連携ソリューションです。タブレット端末で訪問看護・介護の記録ができ、クラウドで多職種間でのリアルタイムな情報共有を可能にすることで、業務効率化を実現します。,,
DeNA,JoinTriage,臨床効果が証明されたアルゴリズムを使用して、瞬時に正確なトリアージを提供し、距離や必要な治療法に基づいて適切な搬送先医療機関を救急隊員に推奨する、救急搬送トリアージアプリです。,,
DeNA,Enroll,患者への治験の案内と治験実施医療機関への紹介を促進する患者リクルートメントソリューションです。適格性判定チェックリストと医用画像を医療関係者へ情報共有し、患者の紹介・相談をサポートします。,,
DeNA,モバオク,いつでもどこからでも出品・落札ができるインターネットオークションサイトで、ファッションアイテムを中心に常時幅広くラインナップされています。,,
DeNA,Anyca,クルマを使わない時にシェアしたいオーナーと必要なときに好みのクルマを使いたいドライバーをマッチングするカーシェアサービスです。,,
DeNA,SOMPOで乗ーる,車検、保険料なども含めたシンプルな料金設定と、ＳＯＭＰＯならではの安心・安全を提供する、ＳＯＭＰＯとDeNAのマイカーリースサービスです。,,
DeNA,FACTEV,お客さまごとに異なるEVの性能や導入効果など、真の実力を、データでわかりやすく「見える化」し、脱炭素とEV普及を実現します。,,
DeNA,バーチャル警備システム,セコムと共同開発した、バーチャルキャラクターが常駐警備を提供するセキュリティシステム。AIを搭載した「バーチャル警備員」が警戒監視や受付業務などを提供します。,,
DeNA,あのね,セコムと共同開発した、ロボットを使ったシニア向けのコミュニケーションサービス。いつも誰かとつながっている安心感を感じていただき、孤独解消を手助けします。,,
DeNA,dot-i,セコムと共同開発した、セキュリティシステムのカメラ映像を利用したウェブアプリケーションサービス。店舗や施設の効率的な運営やサービス品質の向上に役立てることができます。,,
DeNA,Coopel,プログラミング経験がなくても業務の効率化ができ、安価のうえリモートワーク環境下でもロボットの共有や監視が容易なクラウド型RPAサービスです。,,
DeNA,マンガボックス,人気マンガの新作連載が無料で読めるアプリです。独自の編集部にてオリジナル作品の創出を行い、作品の映像化や新人作家の育成にも注力しています。,,
DeNA,Easy Ride,「もっと自由な移動を」をコンセプトに、日産と共同で開発を開始した、自動運転技術を活用した新しい交通サービスです。,,
DeNA,PLAYBACK 9,横浜DeNAベイスターズの試合の名シーンを球団公式のデジタルムービーとして購入し、コレクションできるNFTを活用したサービスです。,,
DeNA,PICKFIVE,川崎ブレイブサンダースが提供する、試合で活躍する選手を予想して楽しむことができるNFTを活用したカードゲームです。,,
DeNA,NFTコレクション,『ゲームファンのための宝物』をコンセプトに、制作されたゲーム内や作品内のデジタルコンテンツをNFTと紐づかせてコレクションできるサービスです。,,
メルカリ,メルカリ,個人間取引（CtoC）のためのマーケットプレイスであり、誰でもスマートフォン上で簡単に不要品を販売できるという今までになかったユニークなユーザ体験を提供,,
メルカリ,メルペイ,メルカリアプリを使った決済サービスであり、 メルカリで取得した売上金で購入したポイントや売上金から自動チャージされたメルペイ残高が、メルペイ加盟店でのお買い物に使用できる 売上金をお持ちでない場合は、銀行口座等からメルペイ残高をチャージすることができる。,,
メルカリ,メルカリShops,"かんたんで、売れる」をコンセプトに、スマホ1つでネットショップを開設し、ショップ運営者が商品を直接販売することができる、Eコマースプラットフォーム。「メルカリ」に出品するのと同様の簡単な操作で、誰でも「メルカリ」アプリ内にネットショップを持つことができ、独自の集客なしで「メルカリ」の月間2,000万人以上の利用者に届けることが可能である。",,
メルカリ,メルコイン,メルカリアプリでビットコインを売買できる,,
メルカリ,メルロジ,自社のタッチポイントを基盤にデータとテクノロジーを活用した新たな集荷物流網を構築,,
エムスリー,m3.com,"医療従事者の情報ニーズに応える会員制サイト。
医療に関するニュースや海外論文から暮らしやキャリアに関わる各種最新情報と、それぞれに関する意見交換の場、さらには転職、開業・継承まで、医療従事者に役立つ多面的な情報やツール、サービスをご提供しています。",,
エムスリー,MR君,日本最大の医療従事者専用サイトm3.comの特性を活かし、製薬企業の薬剤プロモーション・マーケティングを総合的に支援。毎日の診療に役立つ最新の医療情報を製薬企業のMRがお届けする「MR君」サービスでは、医師の方々の92％が「疾患認識を深めた」・94％ が「内容に満足している」と高く評価している、工夫を凝らした数々のコンテンツを、診療前やご自宅など都合の良い時間と場所でご覧いただいてます。,,
エムスリー,Web講演会,製薬企業や医療機器メーカーの提供によるWebセミナー（Web講演会）に、PCや専用アプリから、リアルタイムに参加・視聴できるサービスです。講演内容は、全医師を対象としたmegaWeb講演会や地域や診療科を限定した専門的な講演会など多岐に及びます。エムスリー独自企画の講演会もあり、日本最大級の医療従事者向けWebセミナープラットフォームです。,,
エムスリー,m3.com career,m3.com CAREERは、m3.com内で展開する日本最大級の医師求人・転職支援サイト。求人情報は、10万人以上の医師に向けて毎週配信している求人専門メールマガジンにも掲載。常勤医から非常勤医まで、多様な求人ニーズにお応えします。,,
エムスリー,M3 DigiKar,"忙しい開業医の手間を削減するクラウド電子カルテです。
AIによる入力サポート、パソコンに詳しくなくても簡単に使える分かりやすいUI、安心・安全のセキュリティを兼ね備えております。",,
エムスリー,デジスマ診断,"デジスマ診療はクリニック・病院に特化した会計サービスです。
スマホ完結のクレジットカード決済をはじめ、予約システム、問診、処方せんの薬局送付、お知らせ機能など、受付業務の効率化をサポートし患者様の来院体験もより良くすることができます。
クラウド電子カルテ「デジカル」との連携も可能です。",,
エムスリー,AskDoctors,一般の方が健康について、インターネットで気軽に医師に相談できるQ&Aサイト、AskDoctors。病気、健康の悩みに、1000人以上の現役医師が豊富な経験と専門知識を活かして迅速、的確に回答。見るだけで役立つ、過去の相談例数百万件も掲載。匿名だからプライバシーも安心です。,,
カカクコム,価格.com,「買ってよかった」をすべてのひとに。をコンセプトとする購買支援サイト。パソコンや家電、スマートフォン、インテリア、さらにファッションやプロバイダ、保険など、生活に関わるさまざまなジャンルにおいて、価格やスペック、クチコミ、レビューを集約。商品購入やサービス申し込みの前に必要な情報比較をサポートする,,
カカクコム,食べログ,"2005年3月開設のレストラン検索・予約サイト。
好みがマッチする人のおすすめや多様な検索条件、独自の記事コンテンツなどから、ニーズや好みに合わせてお店を楽しく探せます。また24時間いつでも、スマートフォンなどからインターネット予約を完了できる。",,
カカクコム,キナリノ,「自分らしい暮らしがかなう」をテーマに、買いものと読みものを楽しめるライフスタイルメディア。心地よい暮らしにつながるお買いもの体験と、毎日の暮らしに役立つ情報を提供する。,,
カカクコム,TASCLAP,“ おしゃれを知る。おしゃれを楽しむ。”をコンセプトとするメンズファッションWeb マガジン。トレンドに敏感で知識豊富なプロのライター陣と編集部が、等身大のファッションを意識した記事を毎日発信している。,,
カカクコム,求人ボックス,全国の転職サイトや求人サイトから、正社員・アルバイト・パート・契約社員、さらに在宅ワークや新卒採用などの求人情報を集約してわかりやすく提供している。,,
カカクコム,スマイティ,日本全国の賃貸・新築・中古物件と不動産売却情報を取り扱う不動産住宅サイト。さまざまな条件から希望に合う物件を探せます。,,
カカクコム,icotto,観光・温泉・ホテル・グルメ情報を女性編集スタッフならではの切り口で紹介している、旅好きな女性のためのメディア,,
カカクコム,フォートラベル,旅行のクチコミと比較サイト,,
カカクコム,バス比較なび,全国の高速バス・夜行バス、バスツアーの料金比較サイト,,
カカクコム,バスとりっぷ,高速バス・バスツアーのお役立ち情報メディア,,
カカクコム,格安移動,国内移動・海外航空券の最安値比較サイト,,
カカクコム,PHOTOHITO,写真共有サイト,,
カカクコム,アキバ総研,アニメ&アキバ系カルチャー情報,,
カカクコム,映画.com,国内外の映画に関する情報をはじめ、プロの評論家と編集部による独自の映画評やユーザーレビュー、興行ランキング、上映館検索まで、映画に関する幅広い情報・機能を提供,199808,
カカクコム,アニメハック,さまざまなアニメ関連情報を集約し、わかりやすく提供,20150709,
カカクコム,webCG,クルマ好きのための情報サイト,20200616,
カカクコム,FX羅針盤,FX関連情報と為替相場解説・予想サイト,,
カカクコム,暗号資産羅針盤,暗号資産とブロックチェーンに関連する情報サイト,,
カカクコム,TimeDesign,直販予約、収益性を向上させるプラットフォームを提供。ダイナミックパッケージは、ホテルと航空券、レンタカーや、保険等、アンシラリーサービスとの組み合わせを可能とし、統合された予約体験を実現する。,,
ビジョナル,ビズリーチ,ビジネスプロフェッショナル、国内外の優良・成長企業、各業界に精通した一流ヘッドハンターの三者を最適かつ効率的にマッチングする、即戦力人材に特化した会員制転職サイト。,,
ビジョナル,ビズリーチ・キャンパス,OB/OG訪問を通じて大学生のキャリア形成を支援する、オンラインのキャリア教育プラットフォーム。,,
ビジョナル,スタンバイ,インターネット上に公開されている全国の求人情報の中から、入力したキーワードによって最適な求人情報を一括で探すことができる求人検索エンジン。,,
ビジョナル,HRMOS タレントマネジメント,従業員に関するあらゆる情報を一元管理することで人事業務や組織の状態を可視化し、企業の人材活用をサポートする。,,
ビジョナル,HRMOS 採用,採用業務の一元管理を通じてオペレーションを効率化する。データによる採用活動の可視化・分析により、効率的に求める人材の採用につなげることができる。,,
ビジョナル,HRMOS 勤怠,"1,000社以上のサポート経験で培った人事・労務の専門ノウハウが詰まったシンプルで使いやすい無料のクラウド勤怠管理システム。",,
ビジョナル,HRMOS 経費,社内で発生するさまざまな経費（交通費、出張費、会議費、交際費など）の申請、承認、支払い処理の電子化と一元管理を実現する経費精算システム。,,
ビジョナル,M&A サクシード,譲渡企業と譲り受け企業をオンライン上でつなぐ法人・審査制M&Aマッチングサイト。,,
ビジョナル,トラボックス,荷物の配送を希望する運送会社や個人の荷主と、空きトラックを保有する運送会社をオンラインでマッチングさせる,,
ビジョナル,yamory,ITシステムの脆弱性を自動で検知し、管理・対策ができるクラウドサービス。脆弱性を管理・対策することでサイバー攻撃から身を守り、ITシステムからの情報漏洩と、ライセンス違反による法的リスクの軽減を実現する,,
ビジョナル,ASSURED,クラウドサービスの安全性を可視化するプラットフォームです。専門知識を有するセキュリティ評価チームが、クラウドサービスのセキュリティ対策状況を調査し、その評価結果をデータベースに集約することで、効率的かつ高精度なセキュリティ評価を実現する。,,
ミクシィ,Unlim,"①競技活動資金に充て新たな挑戦をしたい
②自身の活動だけではなくスポーツや競技そのものを盛り上げていきたい
③スポーツを通じて社会に貢献したい
といったさまざまな思いを持つアスリートやチームに対して、金銭的に支援するサービス",,
ミクシィ,TIP STAR,365日配信されるレース映像と、競輪・PIST6・オートレースのネット投票を、基本無料で、友達と一緒に楽しむことができるサービス,,
ミクシィ,Fansta,スポーツ観戦を楽しみたいファンを集客できるお店でのスポーツ観戦に特化したDAZN公認の新しい集客サービス,,
ミクシィ,MIXI M,認証から決済までをワンストップで提供できる基盤システム & WALLETサービス,,
ミクシィ,家族アルバム みてね,子どもの写真・動画を家族と簡単に共有できるサービスで、日々たくさんの写真や動画がアップロードされる「みてね」では、プライバシーを保ちながら、ご家族がより便利に思い出を振り返ったり、形に残すことができるよう、人工知能（AI）のデータ分析技術のひとつである機械学習を用いたサービス提供を行っている。,,
ミクシィ,minimo,美容師やネイリスト、アイデザイナー、エステティシャンなどサロンスタッフ個人の施術を、お客さまが24時間いつでも直接予約できるサービス,,
ミクシィ,Romi,雑談を得意とする感情豊かなコミュニケーションロボット。当社独自開発の会話AI（人工知能）が都度会話を作り出しているため、返答のルールがあらかじめ登録されている従来のロボットとは異なり、自然な会話のキャッチボールを楽しめる点が特徴です。100種類以上の表情と動きに加え、目覚ましやリマインダーといった豊富な機能・コンテンツで、ユーザーの日々の生活を彩ります。,,
ミクシィ,mixi,「心地よいつながり」を軸としたコミュニケーションの場を提供するソーシャル・ネットワーキングサービス,,
ミクシィ,モンスターストライク,RPGとドラッグ型アクションを融合させたアクションRPG,20130927,
ミクシィ,コトダマン,文字の精霊コトダマンを召喚し、ことば（単語）を揃えて敵を攻撃するパズルRPG,,
CARTA HOLDINGS,fluct,「パブリッシャーにとって「最高の」ビジネスパートナーになる」をミッションに広告配信を主軸とするメディアマネタイズ支援事業を展開している。高トラフィックかつ高い可用性が求められる中で、ユーザ・メディア・広告主にとって三方良しの仕組みの実現に向けエンジニアリングを行う。,,
CARTA HOLDINGS,CARTA MARKETING FIRM,「世に広くマーケティングしたい広告主抜けのプロダクト」の開発を行う。秒間数万〜数十万の大量のリクエストを高速に低レイテンシーでさばくという技術的な挑戦、また広告効果についてデータをもとに振り返りを行うデータエンジニアリングへも挑戦している。,,
CARTA HOLDINGS,テレシー,7兆円の広告業界に革命を起こすゲームチェンジャーを目指している。 テレビCMを効果分析しながら運用出来る「運用型テレビCM」を中心にクライアントのマーケティング・パートナーとして、戦略策定、クリエイティブ制作、オンライン、オフラインのトータルメディアプランニング・バイイング、特許技術を取得した効果測定に至るまで、顧客の事業成長をマーケティング側面から支援する。,,
CARTA HOLDINGS,CARTA COMMUNICATIONS,「The Big Digital Picture　～デジタルで大きな絵図を、その先にある生活者に豊かな生活を。～ 」をVISIONに掲げ、広告・マーケティング領域に関わる様々なビジネスをプラットフォーム事業者および媒体社と推進している。メディアレップとして培った国内最大級の広告仕入れ基盤を活かしたメディアプランニングに強みがある。広告主の課題解決を目的とした、マーケティングソリューションの開発やプラットフォーム事業者、媒体社の保有する資産（データ・コンテンツなど）を活用した自社サービス開発＆提供も行っている。,,
CARTA HOLDINGS,デジクル,グループ会社デジクルと連携したリテールDXを推進。「流通小売×店頭」に特化し、ポイントカードや販促キャンペーン、商品予約受付など、デジタルでお客さまとの接点をサポート。アプリやデータ分析ツールなどを組み合わせたソリューションを開発・提供。,,
CARTA HOLDINGS,デジコ,"6,000種以上に交換できるデジタルギフトのデジコは「簡単に」「迷うことなく」誰でも使えるデジタルギフトを提供します。デジタルギフトだけでなく、「届け方」や企業課題に合わせたキャンペーンプランも ご提案します。",,
CARTA HOLDINGS,ECナビ,利用者数日本最大級の「毎日貯まるポイントサイト」。アンケートに回答したりネットショッピングをするだけでECナビポイントが貯まる,,
CARTA HOLDINGS,エンパス,薬局オリジナルのサービス開発基盤を提供しかかりつけ薬局化をサポートする,,
CARTA HOLDINGS,キャンタ,キャンペーン設計から運用、景品の配布までよりワンストップでツールとサービスを提供する,,
CARTA HOLDINGS,PeX,ポイントサイトやアンケートサイトで貯まったポイントを大手共通ポイントや現金、商品や電子マネーなどに交換することができるポイント流通量日本最大級の「ポイント交換サイト」,,
CARTA HOLDINGS,コトバンク,出版社の保有する辞書・事典の構造化データの提供を受け、データベース構築とWebサービス。掲載している辞書は実績のある出版社や、その分野においての知識が豊富な企業などから提供されたもので構成。,,
CARTA HOLDINGS,マンガペディア,マンガに関する『事典』のデータベース構築とWebサービス。一般社団法人百科綜合リサーチ・センター、株式会社エイトリンクス、株式会社DIGITALIOにより編纂された世界で初めての体系的漫画百科事典。,,
CARTA HOLDINGS,C-POT,小学館とCARTA HOLDINGSとの合弁会社としてC-POTを設立。C-POTでは、小学館のコンテンツとその権利、コンテンツの作成ノウハウ、またVOYAGE GROUPのシステム開発力やマネタイズ、サービス企画力を活かし運営。,,
CARTA HOLDINGS,IMATABI,初心者にも役立つ旅行に関する基本情報から、人気の観光地・穴場の観光地、さらにはひとり旅や世界一周まで、IMATABI（イマタビ）は”旅”をテーマにさまざまな情報を発信する学生向け旅プラットフォーム,,
CARTA HOLDINGS,オカネノホンネ,オンラインでファイナンシャルプランナー(FP)への相談が無料でできるサービス,,
sansan,Sansan,100万件以上の企業情報をあらかじめ搭載し、あらゆる顧客情報の営業活用を実現する、名刺管理を超えた営業DXサービス,,
sansan,Bill One,あらゆる請求書をオンラインで受け取り、企業全体の請求書業務を加速するインボイス管理サービス,,
sansan,Contract One,あらゆる契約書を正確にデータ化し、全社で契約情報を活用できるようにするこれまでにない契約データベース,,
sansan,Eight,"価値ある出会いをタッチでつなぐ、ビジネスのための名刺アプリ。
つながった相手の異動・転職などの情報が自動で更新され、近況をスマートに把握できる",,
ZOZO,ZOZOTOWN,"ファッションEC。
1,600以上のショップ、9,000以上のブランドを取り扱う。常時95万点以上の商品数と毎日平均2,900点以上の新着商品を掲載。（2023年12月末時点）
コスメ専門モール「ZOZOCOSME」や靴の専門モール「ZOZOSHOES」、ラグジュアリー＆デザイナーズゾーン「ZOZOVILLA」を展開。
即日配送サービスやギフトラッピングサービス、支払いが2ヶ月後になる「ツケ払い」などの各種サービスを提供。",20041215,
ZOZO,WEAR,"日本最大級のファッションコーディネートアプリ。
コーディネートの投稿、オフィシャルユーザー「WEARISTA（ウェアリスタ）」やショップスタッフ、一般ユーザーが投稿するコーディネートの検索・閲覧・保存が可能。コーディネート投稿総数は1,400万件以上。アプリのダウンロード数は1,700万件を突破。（2023年12月末時点）",20131031,
ZOZO,MS,身長と体重を選択するだけで理想のサイズが購入できる新しい洋服の買い方。2019年秋冬から、ブランドと協働でマルチサイズ（MS）展開したアイテムをZOZOTOWN上で販売開始。,20190802,
ZOZO,ZOZOUSED,"ブランド古着のファッションゾーン。
7,000以上のブランドを取り扱い、常時約90万点の商品アイテムを掲載。（2023年12月末時点）
カジュアルブランドからハイブランドまで幅広いアイテムを中古ならではのお得な価格で販売。

洋服の下取りサービス「買い替え割」。ZOZOTOWNでお買い物の際、過去に購入したアイテムを下取りし、下取り金額分をその場で値引きする「買い替え割」機能や、過去に購入したアイテムをいつでもZOZOポイントと交換できる「いつでも買い替え割」機能を提供。
下取りアイテムを送る際、ZOZOTOWN以外で購入したアイテムも同梱し、買取可能。買取対象ブランドは9,500以上（2023年12月末時点）で、送料・手数料無料。",20121112,
ZOZO,Fulfillment by ZOZO,"ZOZOTOWN出店企業の自社ECのフルフィルメント支援サービス。
自社EC運営のための撮影・採寸・梱包・配送などの各種フルフィルメント業務を、ZOZOの物流拠点「ZOZOBASE」が受託。設備投資・人件費・在庫保管料などの負担なしで、自社ECの運営が可能。各販売チャネル（自社EC・店舗・ZOZOTOWN）の在庫連携が可能なため、商品欠品による販売機会の損失を最小化。",20190520,
ZOZO,ZOZOSUIT,3D計測用ボディースーツ「ZOZOSUIT」は、スーツ全体に施されたドットマーカーをスマートフォンのカメラで360度撮影することで、身体の精緻な3Dモデル生成が可能。,202010,
ZOZO,ZOZOMAT,マット全体に施されたドットマーカーをスマートフォンのカメラで360度撮影することで、自宅にいながら簡単に高精度な足の3D計測が可能な計測ツール。マットに片足ずつのせ、それぞれの足をスマートフォンで撮影することで、足長・足幅・足囲などの複数箇所の計測が可能。,,
ZOZO,ZOZOGLASS,ECにおけるコスメ購入時の課題であった「色選び」に関する不安や悩みを解消する計測ツール。スマートフォンのカメラで撮影したグラス本体の丸いマーカーによってカラーチップの位置と配置を識別し、正面に施されたカラーチップの色をもとに肌の色を検出、カラーチップ本来の登録カラーとの補正によって肌の色を計測することが可能。,,
ZOZO,ZOZOFIT,ジムや自宅にいながら手軽で高精度な3Dボディースキャンおよび計測データのトラッキングを可能にするサービス,20220824,
サイボウズ,kintone,業務システムを自由に作れるクラウドプラットフォーム,,
サイボウズ,サイボウズ Office,中小企業向けのかんたんらくらくグループウェア,,
サイボウズ,Garoon,中堅・大規模組織向けグループウェア,,
サイボウズ,MailWise,メール対応を一元化できるメール共有システム,,
freee,freee会社設立,会社設立に必要な定款をはじめとした約10種類の書類が無料で作成できるサービスであり、会社設立完了までに必要なフローをステップに沿って案内し、はじめての方でもスムーズに手続きを進めることができる,,
freee,freee開業,開業に関する知識がない方でも簡単に個人事業主として開業できる、利用料無料のサービス,,
freee,freee許認可,特定の事業をはじめる場合、行政からの許認可（許可・認可・免許・届出など）が必要となる場合がある。freee許認可は、許認可申請を簡単に行えるサービス,,
freee,freee資金調達,複数金融機関の資金調達手段を検索・比較・利用可能性の診断ができる利用料無料のサービス,,
freee,freee創業融資,中小企業や個人事業主が事業をスタートする際に必要とする創業融資の手続きをサポートするサービス,,
freee,freee登記,変更したい株式会社の会社情報を入力するだけで、司法書士に依頼することなく必要書類を自動作成、法務局に行かずに郵送で申請できるサービス,,
freee,freee販売,見積書や請求書、発注書など受注・発注に関する書類の発行や、受注案件の進捗状況、粗利の見込・実績を管理できるサービス,,
freee,freeeサイン,面倒な契約業務を直感的な操作でオンライン完結できるサービス,,
freee,freee受発注,発注者と受注者が同じサービスを利用することで、双方が効率化する取引プラットフォーム,,
freee,freee人事労務,定型業務の多い、勤怠管理、給与計算、労務手続き等の効率化・自動化を可能にするサービス,,
freee,freee勤怠管理Plus,多彩な打刻方法、タイムリーな勤怠管理、給与との連携など、勤怠管理に関する課題を劇的に解決できるサービス,,
freee,freeeマイナンバー管理,低コストでマイナンバーの収集、管理、破棄までクラウド上で完結できるサービス,,
freee,freee福利厚生,会社が従業員に住居を貸与する社宅制度の導入から導入後の運営までを支援するサービス,,
freee,freee工数管理,案件管理、工数管理、レポートの可視化をプロダクト上で一元管理し、プロジェクト毎の収支管理を可能とするサービス,,
freee,freee会計,財務会計に加え、債権債務、請求書、経費精算、ワークフロー機能等をカバーし、個人事業主・法人共に経理に必要な情報の収集、可視化を実現したサービス,,
freee,freee請求書,フォーム入力で誰でも簡単に見積書・納品書・請求書などを作成できるサービス,,
freee,freeeアプリストア,外部サービスとの連携や日々の業務効率化につながるアプリをfreeeと手軽に連携させることで、より快適・便利なご利用を促進するためのサービス,,
freee,freeeカード Unlimited,法人を対象とした企業成長を支援するための統合型コーポレートカード,,
freee,freee出版,「スモールビジネスの翼になる。」をミッションとして、書籍やイベントを通じてスモールビジネスの経営に関するナレッジを探求・発信し、だれもが自由に自然体で経営できる環境を作っていくための出版レーベル,,
freee,起業時代,上記レーベルから出版されている起業・開業に必要な情報が詰まった雑誌です。起業家インタビューに加え、税理士・経営コンサルタント監修のもと起業・開業のダンドリなど最新情報を発信,,
freee,freee税理士登録,税理士登録するために必要な手続きに沿った流れで情報を掲載している、利用料無料のサービス,,
サイバーエージェント,ABEMA PPV ONLINE LIVE,アーティストのライブ、イベント、スポーツ興行、ファッションショー、舞台などの多彩なオンラインライブを提供,,
サイバーエージェント,CL,LDHのコンテンツをお楽しみいただけるデジタルコミュニケーションサービス,,
サイバーエージェント,WRESTLE UNIVERSE,プロレス動画配信サービス。DDT、プロレスリングノア、東京女子プロレスなどのコンテンツを動画配信,,
サイバーエージェント,極予測AI,AIを活用した革新的な制作プロセスで広告クリエイティブを制作し、広告効果がでた時のみクリエイティブ制作費を成功報酬とする「極予測AI(キワミヨソクエーアイ)」の提供,,
サイバーエージェント,極予測TD,AIで数億キーワードの品質スコアを自動で改善効果の出せる広告テキストを自動生成「極予測TD」の提供,,
サイバーエージェント,極予測AI人間,企業ブランディングに適したモデルの制作キャスティングおよび、多種多様な髪型・ポーズ・ファッション・シチュエーションの表現や、コロナ禍で起用が難しい外国籍のモデルも生成が可能。撮影や表現の様々な制約や契約条件にとらわれることなく、広告クリエイティブを制作することができる。さらに当社ではクリエイティブ専門子会社を多数保有しており、3Dスキャン技術やデジタルヒューマンのCG制作を強みとする株式会社CyberHuman Productions等と連携し、「バーチャル撮影システム」や「LED STUDIO」を活用した撮影を行なうことで、より多くの素材データを作成し、多種多様かつ高品質な広告クリエイティブ制作が可能,,
